OBJECTID,NAME,WARD,aggregationMethod,HasData,ORIGINAL_OID,PCTMinority,RAWTotalPop,population_acsipov200,population_acsipovbas,PCTNonWorkingAge,PCTSenior,PCTChildren,PCTUnemployment,KeyField,HeatSeverity,PCTTreeCover,AREASqKm,PopDensity,PopAdjFactor,GOAL,GAP,GapScore,PriorityIndex,TreeEquityScore,PCTPoverty,Status,TES,AreaSqMi,PopDens_SqMi,SHAPE_Length,SHAPE_Area
890,Houghton and Tanque Verde,2,BlockApportionment:US.BlockGroups,0,345,0,0,0,0,0,0,0,0,345,6.61424731182796,14.0263239105058,0.663765833866348,0,1.2,18,3.9736760894942,,,,,,,0.256281421255784,0,14118.8031857589,7141606.8755163
891,Garden District,6,BlockApportionment:US.BlockGroups,1,394,48.9,6620,2439,6122,63.38,14.11,22.51,18.29,394,4.83977512297962,12.1561850480578,2.57561727108998,2570.25765213885,1,15,2.8438149519422,16.3092973090213,0.530736552289547,91.3440597759449,60.1600784057498,04 Low Priority,89 - 99,0.994451388075956,6656.9367586768,21059.0511963023,27712999.3991334
892,Paseo Estrella,1,BlockApportionment:US.BlockGroups,1,190,84,225,58,143,56.44,13.78,29.78,27.59,190,4.93243243243243,10.9678234907859,0.0625572079894642,3596.70783321874,1,15,4.0321765092141,23.1245585955978,0.637557805548527,85.2567571675123,59.4405594405594,03 Low-Moderate Priority,79 - 89,0.0241534730400621,9315.43052325455,3324.45563584433,673351.463597526
893,Wilshire Heights,6,BlockApportionment:US.BlockGroups,1,401,36.14,332,259,307,59.94,27.41,12.35,19.58,401,3.25167785234899,16.4745627425083,0.261719848655713,1268.53198832748,1.2,18,1.5254372574917,8.74839262719929,0.366161680764109,96.7966738516404,15.6351791530945,04 Low Priority,89 - 99,0.101050598512499,3285.48276692232,7561.96492126781,2817240.17355822
894,Pima Medical Campus,6,BlockApportionment:US.BlockGroups,1,387,42.08,442,175,479,59.5,27.15,13.35,28.48,387,1.68367346938776,5.88140040433694,0.082572979726065,5352.84062009546,0.8,12,6.11859959566306,35.0902086130373,0.495057420839848,82.6283318272975,63.4655532359081,03 Low-Moderate Priority,79 - 89,0.0318816057135893,13863.7935607992,4050.16167910924,890063.626289589
895,Silver Creek,3,BlockApportionment:US.BlockGroups,1,248,73.98,246,130,208,65.85,10.57,23.58,10.57,248,7.99193548387097,5.0294404252037,0.786534697757637,312.764332840409,1.2,18,12.9705595747963,74.3862438114171,0.571424687289471,57.4938638914226,37.5,01 High Priority,0 - 64,0.303682744612159,810.055903288719,12007.9250078122,8451508.47435961
896,Bravo Park Lane,5,BlockApportionment:US.BlockGroups,1,69,91.6,3619,1490,3328,58.44,13.01,28.54,19.14,69,4.18203309692671,6.17120711092553,1.53379424933397,2359.50812931493,1,15,8.82879288907447,50.6331848383275,0.57977954417564,70.6439151742736,55.2283653846154,02 Upper-Moderate Priority,64 - 79,0.592201270504633,6111.09800037433,16772.469431059,16509703.558583
897,La Playa Caliente,2,BlockApportionment:US.BlockGroups,1,427,31.25,16,12,15,50,31.25,12.5,11.11,427,5.24444444444444,5.81841341683933,0.0853492579888868,187.465015830405,1.2,18,12.1815865831607,69.8614785553005,0.336538289452723,,20,,,0.0329535327438719,485.532162040362,4234.32371043533,918738.428680414
898,Starr Pass and Greasewood,1,BlockApportionment:US.BlockGroups,1,199,71.48,291,157,246,62.89,23.02,14.09,11.86,199,6.6031746031746,4.65129235600053,2.40195337668034,121.151394038373,1.2,18,13.3487076439995,76.554925456211,0.527912959511148,59.5856627372563,36.1788617886179,01 High Priority,0 - 64,0.927399383575233,313.7806700692,21041.6793323654,25853889.8000817
899,South Harrison,4,BlockApportionment:US.BlockGroups,1,55,39.29,6506,4752,6296,59.41,20.52,20.07,12.29,55,4.64696223316913,8.18188120085164,4.3819831236261,1484.71589607955,1.2,18,9.81811879914836,56.306975389254,0.381596938043064,78.5134306009945,24.5235069885642,02 Upper-Moderate Priority,64 - 79,1.69189314294776,3845.3965175748,31750.8086586696,47169745.6121402
