site.ID,nativeUS,totalcount,routeID,easting,northing
125_04b,Native,183,125,496105,3565827
125_05,Native,339,125,496536,3565502
125_06,Native,335,125,492365,3567313
125_07,Native,309,125,494080,3565986
125_07a,Native,33,125,494382,3566070
125_08,Native,182,125,495741,3566345
125_09,Native,338,125,492570,3567733
125_10,Native,211,125,493456,3567334
125_10a,Native,97,125,493243,3567024
125_11,Native,321,125,494540,3567511
125_11a,Native,25,125,494754,3567316
126_01a,Native,20,126,493088,3563288
126_02,Native,153,126,494070,3563500
126_02a,Native,12,126,494274,3563696
126_03,Native,170,126,491998,3565052
126_04,Native,190,126,493187,3564435
126_04a,Native,14,126,493034,3564930
126_05,Native,152,126,493924,3564842
126_05a,Native,28,126,494565,3564301
126_06,Native,194,126,491860,3565490
126_07,Native,223,126,493158,3565883
126_07a,Native,23,126,493158,3565400
126_08,Native,157,126,494321,3565886
126_08a,Native,14,126,494470,3565988
126_09,Native,146,126,493758,3567267
127_02,Native,339,127,494755,3562171
127_03,Native,229,127,493258,3560916
127_04a,Native,31,127,495956,3561831
127_07,Native,402,127,492177,3562274
127_08,Native,184,127,493606,3562707
127_09,Native,185,127,494013,3562508
128_01,Native,405,128,495804,3562827
128_02,Native,352,128,496684,3562118
128_03,Native,423,128,497956,3562049
128_04,Native,423,128,498376,3562814
128_05,Native,304,128,499015,3562041
128_06,Native,276,128,500078,3562269
128_07,Native,300,128,501260,3562310
128_08,Native,285,128,502679,3562797
128_09,Native,454,128,496933,3563660
128_10,Native,374,128,497425,3563453
129_01,Native,310,129,497519,3567554
129_02,Native,314,129,498135,3567103
129_03,Native,436,129,497592,3568677
129_04,Native,270,129,498992,3568119
129_05,Native,181,129,499677,3568066
129_06,Native,232,129,499952,3568711
129_07,Native,405,129,499642,3569196
129_08,Native,222,129,500938,3569076
129_09,Native,357,129,500262,3571022
129_10,Native,265,129,501717,3570767
129_11,Native,257,129,502638,3570923
129_12,Native,345,129,503875,3570237
130_01,Native,244,130,497901,3565829
130_02,Native,535,130,496796,3566842
130_03,Native,442,130,497546,3566564
130_04,Native,222,130,498108,3565920
130_05,Native,435,130,495907,3567329
130_06,Native,358,130,496141,3566994
130_06a,Native,38,130,496072,3566980
130_07,Native,320,130,495108,3568198
130_08,Native,379,130,496807,3568736
130_08a,Native,43,130,496688,3568694
130_09,Native,519,130,496606,3569838
130_10,Native,310,130,497856,3569580
130_11,Native,277,130,498462,3569369
131_01,Native,334,131,497095,3564697
131_02,Native,346,131,498100,3564558
131_03,Native,297,131,498830,3565779
131_04,Native,355,131,499910,3565356
131_05,Native,337,131,499491,3566188
131_06,Native,637,131,499274,3567424
131_07,Native,303,131,500857,3567005
131_08,Native,207,131,501816,3567394
131_09,Native,181,131,501775,3568371
131_10,Native,295,131,501275,3569780
131_11,Native,182,131,502381,3569441
131_12,Native,179,131,503495,3569641
131_13,Native,34,131,503503,3569602
132_01,Native,252,132,498425,3563776
132_02,Native,166,132,499114,3563858
132_03,Native,188,132,500051,3563598
132_04,Native,217,132,499832,3564631
132_05,Native,256,132,500464,3564079
132_06,Native,822,132,500966,3565394
132_07,Native,196,132,500930,3566588
132_08,Native,167,132,501335,3566330
132_09,Native,227,132,502927,3566097
132_10,Native,210,132,502235,3567423
132_11,Native,154,132,502147,3568073
132_12,Native,234,132,503187,3568709
133_01,Native,56,133,502048,3560035
133_02,Native,89,133,502925,3560028
133_03,Native,168,133,502967,3560712
133_04,Native,85,133,502700,3561801
133_05,Native,108,133,503563,3561264
133_06,Native,67,133,503123,3562219
133_07,Native,92,133,501753,3563772
133_08,Native,45,133,502385,3563482
133_08a,Native,16,133,502250,3563209
133_09,Native,115,133,503122,3563106
133_10,Native,121,133,501390,3564401
133_11,Native,108,133,502315,3564491
133_12,Native,132,133,501637,3565379
134_01,Native,103,134,504408,3558210
134_02,Native,117,134,504237,3559722
134_03,Native,39,134,504127,3561267
134_04,Native,201,134,504520,3561995
134_05,Native,148,134,504204,3562326
134_06,Native,162,134,504233,3563945
134_07,Native,133,134,503398,3564758
134_08,Native,248,134,504505,3564668
134_09,Native,115,134,502523,3565609
134_10,Native,344,134,503435,3565395
134_11,Native,222,134,503234,3567842
134_12,Native,169,134,503058,3567202
135_01,Native,247,135,494680,3558305
135_02,Native,321,135,495091,3557951
135_03,Native,279,135,495876,3558476
135_04,Native,177,135,493314,3558510
135_05,Native,264,135,494433,3559616
135_06,Native,230,135,495642,3559515
135_07a,Native,79,135,496415,3559255
135_08,Native,198,135,493657,3559688
135_09a,Native,177,135,493284,3560907
135_09b,Native,48,135,492603,3560840
135_10,Native,250,135,495326,3560324
