"Neighborhood","AreaSqMi","AreaSqKm","PctTreeCov","TreeEquity","TES","PriorityCa","SpeciesCount"
"Tucson Medical Center",0.2946109,0.7630386,10.11839,87.23425,"79 - 89","Moderate Priority",37
"Wilmot",1.932843,5.006041,1.39261,54.81274,"0 - 64","High Priority",10
"Far Horizons",0.1608321,0.4165532,10.3751,89.91919,"89 - 99","Low Priority",35
"Veteran's Hospital",0.5181203,1.341925,4.093947,48.53488,"0 - 64","High Priority",71
"Hidden Hills",0.3734691,0.9672805,13.10504,95.91526,"89 - 99","Low Priority",66
"Pie Allen",0.1836179,0.4755681,9.222008,69.94923,"64 - 79","High Priority",6
"Antigua Village",0.008232293,0.02132154,11.19757,100,"99 - 100","Low Priority",15
"Old Farm",0.08594437,0.2225949,9.70548,76.43079,"64 - 79","High Priority",21
"South Harrison",1.691893,4.381983,8.181881,78.51343,"64 - 79","High Priority",2
"Irvington",0.04357643,0.1128624,2.909693,66.90591,"64 - 79","High Priority",33
"Las Colinas",0.01834533,0.04751417,5.60355,94.47394,"89 - 99","Low Priority",60
"Rio Rancho",0.109536,0.2836968,8.706431,79.22145,"79 - 89","Moderate Priority",22
"Vista Montana",0.3053722,0.7909105,4.526862,73.86628,"64 - 79","High Priority",1
"Mission De Oro",0.2102619,0.5445757,6.12515,70.76175,"64 - 79","High Priority",107
"Longview Estates",0.2547399,0.6597733,8.129164,78.37067,"64 - 79","High Priority",9
"Rillito Park",0.1899244,0.491902,5.34404,70.28,"64 - 79","High Priority",81
"Hollows Condo",0.03634774,0.09414021,14.77909,100,"99 - 100","Low Priority",2
"Cherry Avenue",1.248096,3.232553,7.923592,78.12507,"64 - 79","High Priority",1
"Morris K Udall",0.2769904,0.7174018,4.837744,72.77145,"64 - 79","High Priority",66
"Pantano Vista",0.1269002,0.32867,13.77232,90.21907,"89 - 99","Low Priority",40
"Corbett",1.019989,2.64176,7.421366,75.3569,"64 - 79","High Priority",21
"Rita Ranch",15.34814,39.7515,3.163776,62.00985,"0 - 64","High Priority",6
"Mortimore",0.1792379,0.4642241,8.478519,79.80303,"79 - 89","Moderate Priority",60
"Millville",0.4716227,1.221497,3.337543,52.68038,"0 - 64","High Priority",23
"Pantano Ranch",0.1190484,0.3083339,14.0505,94.28247,"89 - 99","Low Priority",18
"Silver Creek",0.3036827,0.7865347,5.02944,57.49386,"0 - 64","High Priority",1
"South Park",1.644368,4.258893,4.215154,52.45923,"0 - 64","High Priority",50
"Garden District",0.9944514,2.575617,12.15619,91.34406,"89 - 99","Low Priority",40
"Barrio Viejo",0.1970194,0.510278,12.57316,85.79821,"79 - 89","Moderate Priority",10
"Saguaro Verde",0.08612565,0.2230644,16.21769,96.16342,"89 - 99","Low Priority",5
"Mesquite Ranch",1.248161,3.232723,4.92868,69.83838,"64 - 79","High Priority",23
"Cabrini",0.2462558,0.6377996,14.44621,98.37234,"89 - 99","Low Priority",3
"Broadkel",0.06550459,0.1696561,12.9514,92.29506,"89 - 99","Low Priority",36
"Holiday Isle",0.2224734,0.5762036,8.035356,81.17004,"79 - 89","Moderate Priority",84
"Dorado Country Club Estates",0.3375752,0.8743156,11.84146,92.59198,"89 - 99","Low Priority",40
"Broadmoor-Broadway",0.2515462,0.6515017,19.41795,100,"99 - 100","Low Priority",1
"Desert Vista",0.36786,0.9527531,5.532933,55.31841,"0 - 64","High Priority",19
"Highland Trails",0.4951979,1.282557,6.546994,78.47423,"64 - 79","High Priority",71
"Broadway/Northeast",0.5261397,1.362696,7.586898,74.8417,"64 - 79","High Priority",85
"Enchanted Hills",0.2386496,0.6180996,8.860486,80.39231,"79 - 89","Moderate Priority",17
"Northeast Center",0.01780221,0.04610752,7.868392,86.20845,"79 - 89","Moderate Priority",18
"Loretta Heights",0.03502024,0.090702,14.45425,90.61164,"89 - 99","Low Priority",39
"Rillito",0.3019259,0.7819846,10.10989,80.1757,"79 - 89","Moderate Priority",4
"West University",0.498407,1.290868,14.24611,97.48312,"89 - 99","Low Priority",41
"Colonia Verde",0.09865588,0.2555176,15.0242,100,"99 - 100","Low Priority",59
