siteID,routeID,native,nonnative,total,easting,northing
131_07,131,303,168,471,500857,3567005
131_08,131,207,103,310,501816,3567394
131_09,131,181,227,408,501775,3568371
131_10,131,295,120,415,501275,3569780
131_11,131,182,192,374,502381,3569441
131_12,131,179,139,318,503495,3569641
131_13,131,34,11,45,503503,3569602
132_01,132,252,1,253,498425,3563776
132_02,132,166,0,166,499114,3563858
132_03,132,188,0,188,500051,3563598
132_04,132,217,0,217,499832,3564631
132_05,132,256,13,269,500464,3564079
132_06,132,822,271,1093,500966,3565394
132_07,132,196,135,331,500930,3566588
132_08,132,167,111,278,501335,3566330
132_09,132,227,170,397,502927,3566097
132_10,132,210,117,327,502235,3567423
132_11,132,154,144,298,502147,3568073
132_12,132,234,116,350,503187,3568709
133_01,133,56,121,177,502048,3560035
133_02,133,89,125,214,502925,3560028
133_03,133,168,79,247,502967,3560712
133_04,133,85,88,173,502700,3561801
133_05,133,108,49,157,503563,3561264
133_06,133,67,133,200,503123,3562219
133_07,133,92,89,181,501753,3563772
133_08,133,45,111,156,502385,3563482
133_08a,133,16,14,30,502250,3563209
133_09,133,115,115,230,503122,3563106
133_10,133,121,46,167,501390,3564401
133_11,133,108,101,209,502315,3564491
133_12,133,132,23,155,501637,3565379
134_01,134,103,203,306,504408,3558210
134_02,134,117,126,243,504237,3559722
134_03,134,39,10,49,504127,3561267
134_04,134,201,112,313,504520,3561995
134_05,134,148,166,314,504204,3562326
134_06,134,162,130,292,504233,3563945
134_07,134,133,107,240,503398,3564758
134_08,134,248,117,365,504505,3564668
134_09,134,115,100,215,502523,3565609
134_10,134,344,174,518,503435,3565395
134_11,134,222,237,459,503234,3567842
134_12,134,169,210,379,503058,3567202
135_01,135,247,9,256,494680,3558305
135_02,135,321,24,345,495091,3557951
135_03,135,279,4,283,495876,3558476
135_04,135,177,14,191,493314,3558510
135_05,135,264,20,284,494433,3559616
135_06,135,230,52,282,495642,3559515
135_07a,135,79,1,80,496415,3559255
135_08,135,198,0,198,493657,3559688
135_09a,135,177,7,184,493284,3560907
135_09b,135,48,1,49,492603,3560840
135_10,135,250,9,259,495326,3560324
136_01,136,280,60,340,499049,3558482
136_02,136,251,16,267,498202,3559066
136_03,136,228,9,237,498461,3560008
136_04,136,225,4,229,499167,3559022
136_05a,136,30,0,30,497687,3560008
136_06,136,276,2,278,498518,3560864
136_07,136,366,185,551,499492,3560507
136_08,136,231,165,396,500055,3560461
136_09,136,232,162,394,498799,3561746
136_10,136,282,156,438,499639,3561400
136_11,136,207,66,273,501042,3561762
136_12,136,196,24,220,501183,3561965
137_01,137,338,46,384,495045,3556061
137_02,137,334,55,389,496500,3556019
137_03,137,347,52,399,495684,3556258
137_04,137,340,49,389,496488,3556371
137_05,137,224,152,376,497697,3556735
137_06,137,241,26,267,494288,3557483
137_07,137,269,62,331,495284,3557679
137_08,137,283,205,488,496841,3557410
137_09,137,426,191,617,497764,3557710
137_10,137,287,138,425,498508,3557708
137_11,137,308,2,310,497679,3558630
137_12,137,418,27,445,498495,3558661
138_01,138,364,125,489,496741,3554364
138_02,138,223,122,345,497337,3554413
138_03,138,110,73,183,497552,3555991
138_04,138,120,45,165,498060,3555675
138_05,138,87,16,103,498612,3556812
138_06,138,51,118,169,499925,3556734
138_07,138,82,76,158,499582,3557783
138_08,138,86,56,142,500305,3557949
138_09,138,75,27,102,500936,3558114
138_10,138,139,67,206,500782,3559674
138_11,138,133,46,179,501435,3559887
138_12,138,68,71,139,502884,3559624
139_01,139,226,75,301,498394,3554413
139_02,139,392,180,572,499282,3554054
139_03,139,286,119,405,499713,3555266
139_04,139,298,174,472,500127,3555726
139_05,139,245,233,478,501651,3555404
139_06,139,310,113,423,500150,3556864
139_07,139,284,222,506,501879,3556003
139_08,139,191,32,223,501139,3557157
139_09,139,228,238,466,501636,3558219
139_10,139,277,217,494,502202,3558982
139_11,139,150,146,296,503930,3558976
139_12,139,216,244,460,503130,3559422
140_01,140,65,2,67,500430,3554739
140_02,140,45,34,79,501319,3554399
140_03,140,120,87,207,502698,3554680
140_04,140,26,60,86,502653,3555385
140_05,140,42,52,94,502906,3556260
140_06,140,56,61,117,502679,3557901
140_07,140,36,93,129,503198,3557785
140_08,140,82,40,122,504746,3557735
140_09,140,51,58,109,505871,3557705
140_10,140,232,45,277,505599,3558220
140_11,140,36,24,60,505375,3559035
140_12,140,39,12,51,505224,3560914
141_01,141,59,47,106,503687,3555271
141_02,141,83,218,301,503548,3556401
141_03,141,53,228,281,504205,3556819
141_04,141,118,152,270,505065,3556076
141_05,141,56,27,83,506250,3556244
141_06,141,127,64,191,506409,3557067
141_07,141,170,88,258,506190,3558210
141_08,141,164,18,182,506577,3559349
141_09,141,145,81,226,506767,3560154
141_10,141,139,83,222,505629,3561363
141_11,141,119,176,295,506044,3561680
141_12,141,117,167,284,505343,3562311
142_01,142,87,31,118,503628,3554905
142_02,142,36,17,53,504106,3554214
142_03,142,67,37,104,504535,3555343
142_04,142,41,25,66,505442,3555334
142_05,142,55,25,80,506117,3555743
142_06,142,73,24,97,507910,3555345
142_07,142,47,63,110,507804,3556724
142_08,142,69,79,148,507657,3557553
142_09,142,41,2,43,507780,3558696
142_10,142,58,14,72,507003,3559492
142_11,142,50,21,71,507734,3560849
142_12,142,41,26,67,507677,3561508
143_01,143,138,11,149,505765,3554685
143_02,143,104,3,107,506588,3554501
143_03,143,35,9,44,507732,3554506
143_04,143,62,48,110,508531,3554522
143_05,143,58,155,213,509314,3554392
143_06,143,135,277,412,510682,3553981
143_07,143,175,112,287,511781,3554911
143_08,143,130,189,319,512169,3554482
143_09,143,51,97,148,508389,3555702
143_10,143,110,83,193,510175,3555783
143_11,143,226,37,263,511805,3555502
143_12,143,52,1,53,511791,3556291
144_01,144,272,147,419,509317,3555684
144_02,144,282,200,482,509073,3556162
144_03,144,177,166,343,509301,3556319
144_04,144,151,7,158,510845,3556938
144_05,144,161,54,215,508226,3557803
144_06,144,321,53,374,508924,3557386
144_07,144,226,21,247,510180,3557515
144_08,144,100,63,163,508784,3558846
144_09,144,94,27,121,509446,3558532
144_10,144,109,68,177,508136,3559079
144_11,144,87,87,174,509231,3559191
144_12,144,92,8,100,508151,3560546
145_01,145,42,6,48,513405,3554279
145_02,145,32,3,35,514724,3554442
145_03,145,10,0,10,516140,3554649
145_04,145,26,0,26,516596,3554085
145_05,145,25,0,25,517581,3553891
145_06,145,34,0,34,512879,3555914
145_07,145,19,0,19,513401,3555549
145_08,145,31,0,31,514683,3555211
145_09,145,6,0,6,515546,3555319
145_10,145,23,1,24,513387,3556440
145_11,145,19,0,19,514855,3556376
145_12,145,42,2,44,513402,3557010
146_01,146,593,38,631,509409,3574177
146_02,146,582,11,593,510728,3573908
146_03,146,500,55,555,513355,3574261
146_04,146,372,38,410,514718,3574716
146_05,146,592,42,634,511047,3575102
146_06,146,618,16,634,513414,3575237
146_07,146,451,37,488,514524,3575297
146_08,146,493,22,515,510486,3577023
146_09,146,538,31,569,511237,3576625
146_10,146,486,20,506,512493,3576255
146_11,146,392,30,422,513260,3576637
146_12,146,450,47,497,513123,3577018
147_01,147,385,136,521,514190,3572439
