"","siteID","n","routeID","easting","northing"
"256","122_06",21,122,491083,3569816
"257","122_06a",14,122,491593,3569785
"258","122_07",19,122,489454,3571511
"259","122_07a",18,122,488832,3570738
"260","122_07b",14,122,488653,3571137
"261","122_08",18,122,489540,3570574
"262","122_08a",21,122,489030,3570680
"263","122_09",21,122,490899,3570389
"264","122_12",17,122,492268,3571384
"265","123_01",24,123,492868,3569894
"266","123_03",22,123,492472,3570675
"267","123_04",26,123,494043,3571059
"268","123_05",31,123,494359,3570174
"269","123_06",26,123,493853,3571594
"270","123_07",23,123,494923,3571915
"271","123_08",27,123,494536,3572435
"272","123_09",26,123,494727,3573251
"273","124_01",19,124,492793,3568648
"274","124_02",26,124,493081,3568463
"275","124_03",25,124,494046,3568221
"276","124_04",21,124,493490,3569331
"277","124_05",23,124,494492,3569743
"278","124_06",20,124,495899,3569872
"279","124_07",24,124,495787,3570847
"280","124_08",36,124,496260,3570865
"281","124_09",33,124,497373,3570752
"282","124_10",24,124,495611,3571200
"283","125_01",32,125,493547,3563206
"284","125_01a",10,125,495371,3563787
"285","125_02",33,125,495687,3564152
"286","125_02a",12,125,495730,3564327
"287","125_03",18,125,497061,3564744
"288","125_03a",26,125,496998,3564771
"289","125_04",13,125,496109,3565766
"290","125_04a",14,125,495716,3565727
"291","125_04b",21,125,496105,3565827
"292","125_05",26,125,496536,3565502
"293","125_06",29,125,492365,3567313
"294","125_07",24,125,494080,3565986
"295","125_07a",13,125,494382,3566070
"296","125_08",23,125,495741,3566345
"297","125_09",27,125,492570,3567733
"298","125_10",23,125,493456,3567334
"299","125_10a",16,125,493243,3567024
"300","125_11",28,125,494540,3567511
"301","125_11a",8,125,494754,3567316
"302","126_01a",11,126,493088,3563288
"303","126_02",25,126,494070,3563500
"304","126_02a",8,126,494274,3563696
"305","126_03",25,126,491998,3565052
"306","126_04",27,126,493187,3564435
"307","126_04a",8,126,493034,3564930
"308","126_05",28,126,493924,3564842
"309","126_05a",10,126,494565,3564301
"310","126_06",25,126,491860,3565490
"311","126_07",25,126,493158,3565883
"312","126_07a",13,126,493158,3565400
"313","126_08",18,126,494321,3565886
"314","126_08a",8,126,494470,3565988
"315","126_09",20,126,493758,3567267
"316","127_02",35,127,494755,3562171
"317","127_03",19,127,493258,3560916
"318","127_04a",14,127,495956,3561831
"319","127_07",22,127,492177,3562274
"320","127_08",27,127,493606,3562707
"321","127_09",22,127,494013,3562508
"322","128_01",25,128,495804,3562827
"323","128_02",26,128,496684,3562118
"324","128_03",32,128,497956,3562049
"325","128_04",26,128,498376,3562814
"326","128_05",28,128,499015,3562041
"327","128_06",22,128,500078,3562269
"328","128_07",27,128,501260,3562310
"329","128_08",17,128,502679,3562797
"330","128_09",29,128,496933,3563660
"331","128_10",28,128,497425,3563453
"332","129_01",28,129,497519,3567554
"333","129_02",18,129,498135,3567103
"334","129_03",28,129,497592,3568677
"335","129_04",28,129,498992,3568119
"336","129_05",20,129,499677,3568066
"337","129_06",27,129,499952,3568711
"338","129_07",33,129,499642,3569196
"339","129_08",21,129,500938,3569076
"340","129_09",23,129,500262,3571022
"341","129_10",25,129,501717,3570767
"342","129_11",22,129,502638,3570923
"343","129_12",20,129,503875,3570237
"344","130_01",25,130,497901,3565829
"345","130_02",25,130,496796,3566842
"346","130_03",28,130,497546,3566564
"347","130_04",21,130,498108,3565920
"348","130_05",26,130,495907,3567329
"349","130_06",20,130,496141,3566994
"350","130_06a",11,130,496072,3566980
"351","130_07",24,130,495108,3568198
"352","130_08",26,130,496807,3568736
"353","130_08a",11,130,496688,3568694
"354","130_09",28,130,496606,3569838
"355","130_10",28,130,497856,3569580
"356","130_11",15,130,498462,3569369
"357","131_01",27,131,497095,3564697
"358","131_02",36,131,498100,3564558
"359","131_03",33,131,498830,3565779
"360","131_04",30,131,499910,3565356
"361","131_05",29,131,499491,3566188
"362","131_06",29,131,499274,3567424
"363","131_07",34,131,500857,3567005
"364","131_08",25,131,501816,3567394
"365","131_09",20,131,501775,3568371
"366","131_10",24,131,501275,3569780
"367","131_11",18,131,502381,3569441
"368","131_12",20,131,503495,3569641
"369","131_13",13,131,503503,3569602
"370","132_01",29,132,498425,3563776
"371","132_02",20,132,499114,3563858
"372","132_03",19,132,500051,3563598
"373","132_04",25,132,499832,3564631
"374","132_05",21,132,500464,3564079
"375","132_06",25,132,500966,3565394
"376","132_07",25,132,500930,3566588
"377","132_08",22,132,501335,3566330
"378","132_09",15,132,502927,3566097
"379","132_10",19,132,502235,3567423
"380","132_11",14,132,502147,3568073
"381","132_12",25,132,503187,3568709
"382","133_01",13,133,502048,3560035
"383","133_02",12,133,502925,3560028
"384","133_03",19,133,502967,3560712
"385","133_04",14,133,502700,3561801
"386","133_05",13,133,503563,3561264
"387","133_06",13,133,503123,3562219
"388","133_07",20,133,501753,3563772
"389","133_08",13,133,502385,3563482
"390","133_08a",7,133,502250,3563209
"391","133_09",13,133,503122,3563106
"392","133_10",26,133,501390,3564401
"393","133_11",17,133,502315,3564491
"394","133_12",23,133,501637,3565379
"395","134_01",17,134,504408,3558210
"396","134_02",15,134,504237,3559722
"397","134_03",12,134,504127,3561267
"398","134_04",21,134,504520,3561995
"399","134_05",14,134,504204,3562326
"400","134_06",16,134,504233,3563945
"401","134_07",17,134,503398,3564758
"402","134_08",21,134,504505,3564668
"403","134_09",13,134,502523,3565609
"404","134_10",19,134,503435,3565395
"405","134_11",20,134,503234,3567842
"406","134_12",19,134,503058,3567202
"407","135_01",29,135,494680,3558305
"408","135_02",25,135,495091,3557951
"409","135_03",34,135,495876,3558476
"410","135_04",26,135,493314,3558510
"411","135_05",33,135,494433,3559616
"412","135_06",26,135,495642,3559515
"413","135_07a",18,135,496415,3559255
"414","135_08",21,135,493657,3559688
"415","135_09a",26,135,493284,3560907
"416","135_09b",14,135,492603,3560840
"417","135_10",21,135,495326,3560324
"418","136_01",22,136,499049,3558482
"419","136_02",19,136,498202,3559066
"420","136_03",22,136,498461,3560008
"421","136_04",19,136,499167,3559022
"422","136_05a",8,136,497687,3560008
"423","136_06",22,136,498518,3560864
"424","136_07",28,136,499492,3560507
"425","136_08",24,136,500055,3560461
"426","136_09",21,136,498799,3561746
"427","136_10",21,136,499639,3561400
"428","136_11",19,136,501042,3561762
"429","136_12",24,136,501183,3561965
"430","137_01",28,137,495045,3556061
"431","137_02",33,137,496500,3556019
"432","137_03",28,137,495684,3556258
"433","137_04",27,137,496488,3556371
"434","137_05",24,137,497697,3556735
"435","137_06",28,137,494288,3557483
"436","137_07",26,137,495284,3557679
"437","137_08",23,137,496841,3557410
"438","137_09",42,137,497764,3557710
"439","137_10",29,137,498508,3557708
"440","137_11",28,137,497679,3558630
"441","137_12",31,137,498495,3558661
"442","138_01",29,138,496741,3554364
"443","138_02",29,138,497337,3554413
"444","138_03",18,138,497552,3555991
"445","138_04",27,138,498060,3555675
"446","138_05",23,138,498612,3556812
"447","138_06",10,138,499925,3556734
"448","138_07",17,138,499582,3557783
"449","138_08",17,138,500305,3557949
"450","138_09",23,138,500936,3558114
"451","138_10",27,138,500782,3559674
"452","138_11",27,138,501435,3559887
"453","138_12",14,138,502884,3559624
"454","139_01",28,139,498394,3554413
"455","139_02",26,139,499282,3554054
"456","139_03",28,139,499713,3555266
"457","139_04",22,139,500127,3555726
"458","139_05",19,139,501651,3555404
"459","139_06",28,139,500150,3556864
"460","139_07",21,139,501879,3556003
"461","139_08",25,139,501139,3557157
"462","139_09",16,139,501636,3558219
"463","139_10",18,139,502202,3558982
"464","139_11",20,139,503930,3558976
"465","139_12",14,139,503130,3559422
"466","140_01",29,140,500430,3554739
"467","140_02",19,140,501319,3554399
"468","140_03",20,140,502698,3554680
"469","140_04",12,140,502653,3555385
"470","140_05",14,140,502906,3556260
"471","140_06",13,140,502679,3557901
"472","140_07",15,140,503198,3557785
"473","140_08",20,140,504746,3557735
"474","140_09",12,140,505871,3557705
"475","140_10",18,140,505599,3558220
"476","140_11",13,140,505375,3559035
"477","140_12",16,140,505224,3560914
"478","141_01",18,141,503687,3555271
"479","141_02",14,141,503548,3556401
"480","141_03",15,141,504205,3556819
"481","141_04",15,141,505065,3556076
"482","141_05",21,141,506250,3556244
"483","141_06",26,141,506409,3557067
"484","141_07",25,141,506190,3558210
"485","141_08",21,141,506577,3559349
"486","141_09",25,141,506767,3560154
"487","141_10",25,141,505629,3561363
"488","141_11",20,141,506044,3561680
"489","141_12",18,141,505343,3562311
"490","142_01",21,142,503628,3554905
"491","142_02",10,142,504106,3554214
"492","142_03",13,142,504535,3555343
"493","142_04",13,142,505442,3555334
"494","142_05",14,142,506117,3555743
"495","142_06",17,142,507910,3555345
"496","142_07",14,142,507804,3556724
"497","142_08",15,142,507657,3557553
"498","142_09",10,142,507780,3558696
"499","142_10",13,142,507003,3559492
"500","142_11",16,142,507734,3560849
"501","142_12",12,142,507677,3561508
"502","143_01",23,143,505765,3554685
"503","143_02",23,143,506588,3554501
"504","143_03",14,143,507732,3554506
"505","143_04",13,143,508531,3554522
"506","143_05",15,143,509314,3554392
"507","143_06",20,143,510682,3553981
"508","143_07",24,143,511781,3554911
"509","143_08",20,143,512169,3554482
"510","143_09",21,143,508389,3555702
"511","143_10",18,143,510175,3555783
"512","143_11",29,143,511805,3555502
"513","143_12",14,143,511791,3556291
"514","144_01",30,144,509317,3555684
"515","144_02",26,144,509073,3556162
"516","144_03",24,144,509301,3556319
"517","144_04",24,144,510845,3556938
"518","144_05",36,144,508226,3557803
"519","144_06",30,144,508924,3557386
"520","144_07",29,144,510180,3557515
"521","144_08",19,144,508784,3558846
"522","144_09",19,144,509446,3558532
"523","144_10",21,144,508136,3559079
"524","144_11",17,144,509231,3559191
"525","144_12",15,144,508151,3560546
"526","145_01",14,145,513405,3554279
"527","145_02",11,145,514724,3554442
"528","145_03",4,145,516140,3554649
"529","145_04",6,145,516596,3554085
"530","145_05",12,145,517581,3553891
"531","145_06",9,145,512879,3555914
"532","145_07",9,145,513401,3555549
"533","145_08",9,145,514683,3555211
"534","145_09",4,145,515546,3555319
"535","145_10",8,145,513387,3556440
"536","145_11",7,145,514855,3556376
"537","145_12",12,145,513402,3557010
"538","146_01",35,146,509409,3574177
"539","146_02",27,146,510728,3573908
"540","146_03",30,146,513355,3574261
"541","146_04",30,146,514718,3574716
"542","146_05",34,146,511047,3575102
"543","146_06",37,146,513414,3575237
"544","146_07",33,146,514524,3575297
"545","146_08",34,146,510486,3577023
"546","146_09",36,146,511237,3576625
"547","146_10",37,146,512493,3576255
"548","146_11",27,146,513260,3576637
"549","146_12",36,146,513123,3577018
"550","147_01",17,147,514190,3572439
"551","147_01a",6,147,514059,3572397
"552","147_02",19,147,514736,3572409
"553","147_03",19,147,510544,3573197
"554","147_04",18,147,511159,3573970
"555","147_05",25,147,512393,3573319
"556","147_06",22,147,513126,3573951
"557","147_07",21,147,514307,3573844
"558","147_08",19,147,511742,3574521
"559","147_09",21,147,512979,3574160
"560","147_10",22,147,511186,3574940
"561","147_10a",5,147,511129,3574732
"562","147_11",25,147,512879,3575246
"563","148_01",7,148,512618,3571048
"564","148_01a",23,148,512718,3571000
"565","148_02",25,148,513656,3571353
