"","siteID","native.US","n","routeID","easting","northing"
"88","104_09","Non-native",3,104,508209,3569807
"89","104_10","Native",23,104,509244,3570810
"90","104_10","Non-native",3,104,509244,3570810
"91","104_11","Native",21,104,509885,3570432
"92","104_11","Non-native",3,104,509885,3570432
"93","105_01","Native",27,105,506601,3564099
"94","105_01","Non-native",4,105,506601,3564099
"95","105_02","Native",15,105,506628,3565812
"96","105_02","Non-native",4,105,506628,3565812
"97","105_03","Native",14,105,506111,3566305
"98","105_03","Non-native",4,105,506111,3566305
"99","105_04","Native",15,105,506007,3567292
"100","105_04","Non-native",3,105,506007,3567292
"101","105_05","Native",10,105,506176,3568962
"102","105_05","Non-native",3,105,506176,3568962
"103","105_06","Native",14,105,506343,3569895
"104","105_06","Non-native",4,105,506343,3569895
"105","105_07","Native",16,105,507851,3569441
"106","105_07","Non-native",4,105,507851,3569441
"107","105_08","Native",15,105,507833,3570092
"108","105_08","Non-native",3,105,507833,3570092
"109","105_09","Native",18,105,508463,3569969
"110","105_09","Non-native",3,105,508463,3569969
"111","105_10","Native",21,105,509207,3571877
"112","105_10","Non-native",2,105,509207,3571877
"113","105_11","Native",27,105,509430,3571323
"114","105_11","Non-native",1,105,509430,3571323
"115","105_12","Native",12,105,509853,3572595
"116","105_12","Non-native",1,105,509853,3572595
"117","105_13","Native",18,105,509912,3573294
"118","105_13","Non-native",1,105,509912,3573294
"119","106_01","Native",13,106,506704,3562633
"120","106_01","Non-native",4,106,506704,3562633
"121","106_02","Native",17,106,505772,3563189
"122","106_02","Non-native",4,106,505772,3563189
"123","106_03","Native",18,106,506321,3563574
"124","106_03","Non-native",4,106,506321,3563574
"125","106_04","Native",23,106,505164,3564705
"126","106_04","Non-native",4,106,505164,3564705
"127","106_05","Native",21,106,505841,3565613
"128","106_05","Non-native",3,106,505841,3565613
"129","106_06","Native",25,106,505972,3566295
"130","106_06","Non-native",3,106,505972,3566295
"131","106_07","Native",23,106,505692,3567176
"132","106_07","Non-native",2,106,505692,3567176
"133","106_08","Native",19,106,505955,3568060
"134","106_08","Non-native",4,106,505955,3568060
"135","106_09","Native",17,106,505306,3569493
"136","106_09","Non-native",3,106,505306,3569493
"137","106_10","Native",21,106,505607,3570413
"138","106_10","Non-native",3,106,505607,3570413
"139","106_11","Native",16,106,506202,3570703
"140","106_11","Non-native",3,106,506202,3570703
"141","106_12","Native",26,106,505886,3571625
"142","106_12","Non-native",3,106,505886,3571625
"143","107_01","Native",16,107,504878,3565034
"144","107_01","Non-native",4,107,504878,3565034
"145","107_02","Native",17,107,504000,3566755
"146","107_02","Non-native",4,107,504000,3566755
"147","107_03","Native",20,107,504589,3567918
"148","107_03","Non-native",3,107,504589,3567918
"149","107_04","Native",16,107,504428,3568242
"150","107_04","Non-native",3,107,504428,3568242
"151","107_05","Native",24,107,504751,3569881
"152","107_05","Non-native",3,107,504751,3569881
"153","107_06","Native",17,107,504128,3570690
"154","107_06","Non-native",4,107,504128,3570690
"155","107_07","Native",29,107,504821,3571276
"156","107_07","Non-native",3,107,504821,3571276
"157","107_08","Native",34,107,506704,3571772
"158","107_08","Non-native",2,107,506704,3571772
"159","107_09","Native",23,107,507513,3571895
"160","107_09","Non-native",2,107,507513,3571895
"161","107_10","Native",38,107,504132,3572290
"162","107_10","Non-native",4,107,504132,3572290
"163","107_11","Native",11,107,505184,3572185
"164","107_11","Non-native",3,107,505184,3572185
"165","107_12","Native",25,107,506178,3572739
"166","107_12","Non-native",2,107,506178,3572739
"167","108_01","Native",29,108,507093,3572064
"168","108_01","Non-native",2,108,507093,3572064
"169","108_02","Native",37,108,508518,3572682
"170","108_02","Non-native",3,108,508518,3572682
"171","108_03","Native",22,108,505536,3573412
"172","108_03","Non-native",2,108,505536,3573412
"173","108_04","Native",21,108,506155,3573506
"174","108_04","Non-native",1,108,506155,3573506
"175","108_05","Native",26,108,507394,3573088
"176","108_05","Non-native",1,108,507394,3573088
"177","108_06","Native",24,108,508993,3573907
"178","108_06","Non-native",1,108,508993,3573907
"179","108_07","Native",27,108,508505,3574602
"180","108_07","Non-native",2,108,508505,3574602
"181","108_08","Native",27,108,508128,3575608
"182","108_08","Non-native",2,108,508128,3575608
"183","108_09","Native",29,108,509303,3575421
"184","108_09","Non-native",2,108,509303,3575421
"185","108_10","Native",24,108,509449,3576718
"186","108_10","Non-native",1,108,509449,3576718
"187","108_11","Native",28,108,509918,3577156
"188","108_11","Non-native",3,108,509918,3577156
"189","108_12","Native",33,108,510166,3577478
"190","108_12","Non-native",2,108,510166,3577478
"191","109_01","Native",12,109,503695,3571118
"192","109_01","Non-native",3,109,503695,3571118
"193","109_02","Native",8,109,503569,3572351
"194","109_02","Non-native",3,109,503569,3572351
"195","109_03","Native",16,109,503287,3573637
"196","109_03","Non-native",3,109,503287,3573637
"197","109_04","Native",16,109,504688,3573166
"198","109_04","Non-native",1,109,504688,3573166
"199","109_05","Native",12,109,504919,3574515
"200","109_05","Non-native",1,109,504919,3574515
"201","109_06","Native",13,109,505283,3574016
"202","109_06","Non-native",1,109,505283,3574016
"203","109_07","Native",13,109,506099,3574333
"204","109_07","Non-native",1,109,506099,3574333
"205","109_08","Native",12,109,507709,3574258
"206","109_08","Non-native",2,109,507709,3574258
"207","109_09","Native",16,109,507275,3575780
"208","109_09","Non-native",2,109,507275,3575780
"209","109_10","Native",14,109,507220,3576773
"210","109_10","Non-native",3,109,507220,3576773
"211","109_11","Native",20,109,508518,3576832
"212","109_11","Non-native",2,109,508518,3576832
"213","109_12","Native",14,109,508620,3577564
"214","109_12","Non-native",2,109,508620,3577564
"215","110_01","Native",30,110,502823,3572132
"216","110_01","Non-native",3,110,502823,3572132
"217","110_02","Native",28,110,502249,3573576
"218","110_02","Non-native",3,110,502249,3573576
"219","110_03","Native",33,110,502121,3574454
"220","110_03","Non-native",3,110,502121,3574454
"221","110_04","Native",25,110,503627,3574326
"222","110_04","Non-native",2,110,503627,3574326
"223","110_05","Native",15,110,503890,3575390
"224","110_05","Non-native",1,110,503890,3575390
"225","110_05a","Native",19,110,503555,3575313
"226","110_05a","Non-native",2,110,503555,3575313
"227","110_06","Native",22,110,504314,3575034
"228","110_06","Non-native",3,110,504314,3575034
"229","110_07","Native",26,110,505577,3575721
"230","110_07","Non-native",3,110,505577,3575721
"231","110_08","Native",22,110,506785,3575779
"232","110_08","Non-native",2,110,506785,3575779
"233","110_09","Native",23,110,506255,3576273
"234","110_09","Non-native",2,110,506255,3576273
"235","110_10","Native",24,110,506845,3577431
"236","110_10","Non-native",2,110,506845,3577431
"237","110_11","Native",26,110,507447,3577559
"238","110_11","Non-native",1,110,507447,3577559
"239","110_12","Native",24,110,506856,3577764
"240","110_12","Non-native",3,110,506856,3577764
"241","111_01","Native",15,111,501089,3573523
"242","111_01","Non-native",3,111,501089,3573523
"243","111_02","Native",18,111,501630,3574547
"244","111_02","Non-native",1,111,501630,3574547
"245","111_03","Native",18,111,501744,3575088
"246","111_03","Non-native",3,111,501744,3575088
"247","111_04","Native",11,111,502326,3575727
"248","111_04","Non-native",2,111,502326,3575727
"249","111_05","Native",18,111,502963,3576981
"250","111_05","Non-native",1,111,502963,3576981
"251","111_06","Native",15,111,503399,3576713
"252","111_06","Non-native",2,111,503399,3576713
"253","111_07","Native",17,111,504885,3576981
"254","111_07","Non-native",3,111,504885,3576981
"255","111_08","Native",18,111,501592,3577990
"256","111_08","Non-native",1,111,501592,3577990
"257","111_09","Native",19,111,502124,3577321
"258","111_09","Non-native",2,111,502124,3577321
"259","111_10","Native",17,111,503149,3577498
"260","111_10","Non-native",2,111,503149,3577498
"261","111_11","Native",21,111,504489,3577418
"262","111_11","Non-native",2,111,504489,3577418
"263","111_12","Native",15,111,501685,3578732
"264","111_12","Non-native",2,111,501685,3578732
"265","112_01","Native",19,112,499102,3578747
"266","112_01","Non-native",2,112,499102,3578747
"267","112_02","Native",26,112,502027,3578632
"268","112_02","Non-native",2,112,502027,3578632
"269","112_03","Native",22,112,503466,3578327
"270","112_03","Non-native",2,112,503466,3578327
"271","112_04","Native",26,112,498179,3579118
"272","112_04","Non-native",3,112,498179,3579118
"273","112_05","Native",30,112,499680,3579611
"274","112_05","Non-native",2,112,499680,3579611
"275","112_06","Native",19,112,502411,3579981
"276","112_06","Non-native",1,112,502411,3579981
"277","112_07","Native",17,112,499618,3580845
"278","112_07","Non-native",2,112,499618,3580845
"279","112_08","Native",27,112,500175,3580208
"280","112_08","Non-native",1,112,500175,3580208
"281","112_09","Native",22,112,501392,3580543
"282","112_09","Non-native",2,112,501392,3580543
"283","112_10","Native",23,112,502030,3580007
"284","112_10","Non-native",2,112,502030,3580007
"285","112_11","Native",29,112,501297,3581181
"286","112_11","Non-native",1,112,501297,3581181
"287","112_12","Native",23,112,502433,3581217
"288","112_12","Non-native",2,112,502433,3581217
"289","113_01","Native",24,113,499761,3573453
"290","113_01","Non-native",4,113,499761,3573453
"291","113_02","Native",24,113,499646,3574045
"292","113_02","Non-native",4,113,499646,3574045
"293","113_03","Native",22,113,499245,3575423
"294","113_03","Non-native",3,113,499245,3575423
"295","113_03a","Native",14,113,499911,3575207
"296","113_03a","Non-native",3,113,499911,3575207
"297","113_04","Native",22,113,500553,3575169
"298","113_04","Non-native",2,113,500553,3575169
"299","113_05","Native",28,113,500842,3576973
"300","113_05","Non-native",2,113,500842,3576973
"301","113_06","Native",20,113,501948,3576073
"302","113_06","Non-native",3,113,501948,3576073
"303","113_07","Native",25,113,500627,3577639
"304","113_07","Non-native",1,113,500627,3577639
"305","113_08","Native",25,113,500812,3578715
"306","113_08","Non-native",2,113,500812,3578715
"307","113_09","Native",25,113,500651,3579865
"308","113_09","Non-native",1,113,500651,3579865
"309","113_10","Native",16,113,501204,3579845
"310","113_10","Non-native",2,113,501204,3579845
"311","113_10a","Native",13,113,501873,3579498
"312","113_10a","Non-native",2,113,501873,3579498
"313","114_01","Native",40,114,498220,3570937
"314","114_01","Non-native",4,114,498220,3570937
"315","114_02","Native",24,114,499218,3570967
"316","114_02","Non-native",4,114,499218,3570967
"317","114_03","Native",29,114,496913,3571943
"318","114_03","Non-native",4,114,496913,3571943
"319","114_04","Native",41,114,497338,3571559
"320","114_04","Non-native",4,114,497338,3571559
"321","114_05","Native",21,114,498287,3571460
"322","114_05","Non-native",3,114,498287,3571460
"323","114_06","Native",13,114,499511,3571497
"324","114_06","Non-native",4,114,499511,3571497
"325","114_07","Native",17,114,500794,3571040
"326","114_07","Non-native",4,114,500794,3571040
"327","114_08","Native",15,114,501269,3571121
"328","114_08","Non-native",4,114,501269,3571121
"329","114_09","Native",17,114,502731,3570992
"330","114_09","Non-native",4,114,502731,3570992
"331","114_10","Native",25,114,495987,3572548
"332","114_10","Non-native",4,114,495987,3572548
"333","114_11","Native",35,114,496323,3572671
"334","114_11","Non-native",3,114,496323,3572671
"335","114_12","Native",22,114,495185,3573021
"336","114_12","Non-native",3,114,495185,3573021
"337","115_01","Native",20,115,498123,3572659
"338","115_01","Non-native",4,115,498123,3572659
"339","115_02","Native",13,115,499988,3572027
"340","115_02","Non-native",4,115,499988,3572027
"341","115_03","Native",14,115,500232,3572847
"342","115_03","Non-native",4,115,500232,3572847
"343","115_04","Native",16,115,501217,3572253
"344","115_04","Non-native",3,115,501217,3572253
"345","115_05","Native",11,115,498962,3573297
"346","115_05","Non-native",4,115,498962,3573297
"347","115_06","Native",19,115,500960,3573138
"348","115_06","Non-native",4,115,500960,3573138
"349","115_07","Native",15,115,498794,3574162
"350","115_07","Non-native",3,115,498794,3574162
"351","115_08","Native",20,115,500904,3574237
"352","115_08","Non-native",4,115,500904,3574237
"353","115_09","Native",21,115,498115,3575216
"354","115_09","Non-native",4,115,498115,3575216
"355","115_10","Native",17,115,498493,3576690
"356","115_10","Non-native",3,115,498493,3576690
"357","115_11","Native",22,115,499362,3576715
"358","115_11","Non-native",2,115,499362,3576715
"359","115_12","Native",26,115,499995,3577311
"360","115_12","Non-native",2,115,499995,3577311
"361","116_01","Native",31,116,491247,3575786
"362","116_01","Non-native",1,116,491247,3575786
"363","116_02","Native",27,116,491788,3576802
"364","116_02","Non-native",2,116,491788,3576802
"365","116_03","Native",25,116,491776,3577072
"366","116_03","Non-native",2,116,491776,3577072
"367","116_04","Native",42,116,492512,3577137
"368","116_04","Non-native",3,116,492512,3577137
"369","116_05","Native",29,116,493983,3577288
"370","116_05","Non-native",3,116,493983,3577288
"371","116_05a","Native",3,116,493734,3577248
"372","116_06","Native",21,116,494852,3577679
"373","116_06","Non-native",3,116,494852,3577679
"374","116_07","Native",18,116,495917,3577458
"375","116_07","Non-native",4,116,495917,3577458
"376","116_08","Native",27,116,496918,3577095
"377","116_08","Non-native",3,116,496918,3577095
"378","116_09","Native",29,116,497611,3577477
"379","116_09","Non-native",3,116,497611,3577477
"380","116_10","Native",34,116,498537,3577425
"381","116_10","Non-native",3,116,498537,3577425
"382","116_11","Native",21,116,497223,3578357
"383","116_11","Non-native",3,116,497223,3578357
"384","116_11a","Native",7,116,497556,3578446
"385","116_11a","Non-native",1,116,497556,3578446
"386","116_12","Native",21,116,498674,3578241
"387","116_12","Non-native",3,116,498674,3578241
"388","117_01","Native",17,117,497073,3572902
"389","117_01","Non-native",3,117,497073,3572902
"390","117_02","Native",28,117,496495,3573444
"391","117_02","Non-native",3,117,496495,3573444
"392","117_03","Native",17,117,497661,3573864
"393","117_03","Non-native",4,117,497661,3573864
"394","117_04","Native",29,117,495974,3574638
"395","117_04","Non-native",3,117,495974,3574638
"396","117_05","Native",15,117,497943,3574505
"397","117_05","Non-native",4,117,497943,3574505
"398","117_06","Native",21,117,496108,3575343
"399","117_06","Non-native",3,117,496108,3575343
"400","117_07","Native",17,117,496898,3575240
"401","117_07","Non-native",4,117,496898,3575240
"402","117_08","Native",16,117,497302,3576139
"403","117_08","Non-native",3,117,497302,3576139
"404","117_09","Native",21,117,495191,3576019
"405","117_09","Non-native",2,117,495191,3576019
"406","117_10","Native",14,117,495801,3576737
"407","117_10","Non-native",4,117,495801,3576737
"408","117_11","Native",17,117,496393,3576834
"409","117_11","Non-native",4,117,496393,3576834
"410","117_12","Native",20,117,497580,3576211
"411","117_12","Non-native",4,117,497580,3576211
"412","118_01","Native",24,118,489759,3575567
"413","118_02","Native",25,118,490743,3575450
"414","118_03","Native",24,118,487225,3576673
"415","118_04","Native",29,118,488214,3576203
"416","118_04a","Native",4,118,488151,3576111
"417","118_05","Native",27,118,489756,3576265
"418","118_05","Non-native",1,118,489756,3576265
"419","118_06","Native",27,118,490636,3576135
"420","118_06","Non-native",1,118,490636,3576135
"421","118_07","Native",28,118,487135,3577913
"422","118_07","Non-native",1,118,487135,3577913
"423","118_08","Native",24,118,488786,3577571
"424","118_08","Non-native",1,118,488786,3577571
"425","118_08a","Native",11,118,488810,3577207
"426","118_08a","Non-native",1,118,488810,3577207
"427","118_09","Native",25,118,490049,3577015
"428","118_09","Non-native",1,118,490049,3577015
"429","118_10","Native",24,118,490394,3577135
"430","118_10","Non-native",2,118,490394,3577135
"431","119_01","Native",17,119,491669,3573065
"432","119_01","Non-native",1,119,491669,3573065
"433","119_02","Native",27,119,492346,3573732
"434","119_02","Non-native",3,119,492346,3573732
"435","119_03","Native",25,119,491743,3574523
"436","119_03","Non-native",2,119,491743,3574523
"437","119_04","Native",22,119,492455,3574123
"438","119_04","Non-native",3,119,492455,3574123
"439","119_05","Native",28,119,493360,3574818
"440","119_05","Non-native",2,119,493360,3574818
"441","119_06","Native",23,119,494113,3574002
"442","119_07","Native",32,119,495172,3574386
"443","119_08","Native",15,119,492105,3575049
"444","119_09","Native",27,119,493141,3575468
"445","119_09","Non-native",2,119,493141,3575468
"446","119_10","Native",32,119,493949,3575832
"447","119_10","Non-native",1,119,493949,3575832
"448","119_11","Native",22,119,492085,3576860
"449","119_11","Non-native",2,119,492085,3576860
"450","119_12","Native",37,119,493695,3576375
"451","120_01","Native",20,120,490910,3572512
"452","120_01","Non-native",2,120,490910,3572512
"453","120_02","Native",17,120,491698,3572644
"454","120_03","Native",20,120,492359,3572001
"455","120_03","Non-native",2,120,492359,3572001
"456","120_04","Native",16,120,493161,3572467
"457","120_04","Non-native",1,120,493161,3572467
"458","120_05","Native",19,120,490736,3573680
"459","120_05","Non-native",1,120,490736,3573680
"460","120_06","Native",22,120,493439,3573279
"461","120_06","Non-native",2,120,493439,3573279
"462","120_07","Native",18,120,488695,3574858
"463","120_08","Native",20,120,489788,3574257
"464","120_08","Non-native",1,120,489788,3574257
"465","120_09","Native",13,120,490033,3574797
"466","120_10","Native",22,120,488906,3575164
"467","121_01","Native",24,121,488615,3572434
"468","121_01","Non-native",1,121,488615,3572434
"469","121_02","Native",20,121,489680,3571807
"470","121_03","Native",24,121,490269,3572303
"471","121_03","Non-native",1,121,490269,3572303
"472","121_04","Native",22,121,491692,3571654
"473","121_04","Non-native",2,121,491692,3571654
"474","121_05","Native",25,121,492249,3571974
"475","121_05","Non-native",3,121,492249,3571974
"476","121_07","Native",25,121,489333,3572433
"477","121_07","Non-native",1,121,489333,3572433
"478","121_09","Native",24,121,489634,3573862
"479","121_09","Non-native",2,121,489634,3573862
"480","122_01","Native",13,122,490122,3569035
"481","122_01a","Native",20,122,490200,3568866
"482","122_02","Native",22,122,492298,3569021
"483","122_02","Non-native",1,122,492298,3569021
"484","122_02a","Native",17,122,491505,3568544
"485","122_03","Native",18,122,489042,3569985
"486","122_03a","Native",17,122,488721,3569567
"487","122_04","Native",19,122,489513,3569382
"488","122_04","Non-native",1,122,489513,3569382
"489","122_05","Native",23,122,490166,3569638
"490","122_05","Non-native",1,122,490166,3569638
"491","122_06","Native",21,122,491083,3569816
"492","122_06a","Native",14,122,491593,3569785
"493","122_07","Native",19,122,489454,3571511
"494","122_07a","Native",17,122,488832,3570738
"495","122_07a","Non-native",1,122,488832,3570738
"496","122_07b","Native",14,122,488653,3571137
"497","122_08","Native",18,122,489540,3570574
"498","122_08a","Native",20,122,489030,3570680
"499","122_08a","Non-native",1,122,489030,3570680
"500","122_09","Native",21,122,490899,3570389
"501","122_12","Native",17,122,492268,3571384
"502","123_01","Native",22,123,492868,3569894
"503","123_01","Non-native",2,123,492868,3569894
"504","123_03","Native",21,123,492472,3570675
"505","123_03","Non-native",1,123,492472,3570675
"506","123_04","Native",23,123,494043,3571059
"507","123_04","Non-native",3,123,494043,3571059
"508","123_05","Native",29,123,494359,3570174
"509","123_05","Non-native",2,123,494359,3570174
"510","123_06","Native",23,123,493853,3571594
"511","123_06","Non-native",3,123,493853,3571594
"512","123_07","Native",20,123,494923,3571915
"513","123_07","Non-native",3,123,494923,3571915
"514","123_08","Native",24,123,494536,3572435
"515","123_08","Non-native",3,123,494536,3572435
"516","123_09","Native",24,123,494727,3573251
"517","123_09","Non-native",2,123,494727,3573251
"518","124_01","Native",19,124,492793,3568648
"519","124_02","Native",25,124,493081,3568463
"520","124_02","Non-native",1,124,493081,3568463
"521","124_03","Native",24,124,494046,3568221
"522","124_03","Non-native",1,124,494046,3568221
"523","124_04","Native",19,124,493490,3569331
"524","124_04","Non-native",2,124,493490,3569331
"525","124_05","Native",21,124,494492,3569743
"526","124_05","Non-native",2,124,494492,3569743
"527","124_06","Native",17,124,495899,3569872
"528","124_06","Non-native",3,124,495899,3569872
"529","124_07","Native",22,124,495787,3570847
"530","124_07","Non-native",2,124,495787,3570847
"531","124_08","Native",34,124,496260,3570865
"532","124_08","Non-native",2,124,496260,3570865
"533","124_09","Native",31,124,497373,3570752
"534","124_09","Non-native",2,124,497373,3570752
"535","124_10","Native",21,124,495611,3571200
"536","124_10","Non-native",3,124,495611,3571200
"537","125_01","Native",32,125,493547,3563206
"538","125_01a","Native",9,125,495371,3563787
"539","125_01a","Non-native",1,125,495371,3563787
"540","125_02","Native",31,125,495687,3564152
"541","125_02","Non-native",2,125,495687,3564152
"542","125_02a","Native",12,125,495730,3564327
"543","125_03","Native",16,125,497061,3564744
"544","125_03","Non-native",2,125,497061,3564744
"545","125_03a","Native",23,125,496998,3564771
"546","125_03a","Non-native",3,125,496998,3564771
"547","125_04","Native",13,125,496109,3565766
"548","125_04a","Native",14,125,495716,3565727
"549","125_04b","Native",20,125,496105,3565827
"550","125_04b","Non-native",1,125,496105,3565827
"551","125_05","Native",24,125,496536,3565502
"552","125_05","Non-native",2,125,496536,3565502
"553","125_06","Native",26,125,492365,3567313
"554","125_06","Non-native",3,125,492365,3567313
"555","125_07","Native",24,125,494080,3565986
"556","125_07a","Native",13,125,494382,3566070
"557","125_08","Native",22,125,495741,3566345
"558","125_08","Non-native",1,125,495741,3566345
"559","125_09","Native",24,125,492570,3567733
"560","125_09","Non-native",3,125,492570,3567733
"561","125_10","Native",22,125,493456,3567334
"562","125_10","Non-native",1,125,493456,3567334
"563","125_10a","Native",15,125,493243,3567024
"564","125_10a","Non-native",1,125,493243,3567024
"565","125_11","Native",27,125,494540,3567511
"566","125_11","Non-native",1,125,494540,3567511
"567","125_11a","Native",8,125,494754,3567316
"568","126_01a","Native",11,126,493088,3563288
"569","126_02","Native",25,126,494070,3563500
"570","126_02a","Native",8,126,494274,3563696
"571","126_03","Native",25,126,491998,3565052
"572","126_04","Native",27,126,493187,3564435
"573","126_04a","Native",8,126,493034,3564930
"574","126_05","Native",28,126,493924,3564842
"575","126_05a","Native",10,126,494565,3564301
"576","126_06","Native",25,126,491860,3565490
"577","126_07","Native",24,126,493158,3565883
"578","126_07","Non-native",1,126,493158,3565883
"579","126_07a","Native",13,126,493158,3565400
"580","126_08","Native",18,126,494321,3565886
"581","126_08a","Native",8,126,494470,3565988
"582","126_09","Native",19,126,493758,3567267
"583","126_09","Non-native",1,126,493758,3567267
"584","127_02","Native",34,127,494755,3562171
"585","127_02","Non-native",1,127,494755,3562171
"586","127_03","Native",18,127,493258,3560916
"587","127_03","Non-native",1,127,493258,3560916
"588","127_04a","Native",14,127,495956,3561831
"589","127_07","Native",21,127,492177,3562274
"590","127_07","Non-native",1,127,492177,3562274
"591","127_08","Native",26,127,493606,3562707
"592","127_08","Non-native",1,127,493606,3562707
"593","127_09","Native",22,127,494013,3562508
"594","128_01","Native",23,128,495804,3562827
"595","128_01","Non-native",2,128,495804,3562827
"596","128_02","Native",25,128,496684,3562118
"597","128_02","Non-native",1,128,496684,3562118
"598","128_03","Native",28,128,497956,3562049
"599","128_03","Non-native",4,128,497956,3562049
"600","128_04","Native",22,128,498376,3562814
"601","128_04","Non-native",4,128,498376,3562814
"602","128_05","Native",25,128,499015,3562041
"603","128_05","Non-native",3,128,499015,3562041
"604","128_06","Native",18,128,500078,3562269
"605","128_06","Non-native",4,128,500078,3562269
"606","128_07","Native",24,128,501260,3562310
"607","128_07","Non-native",3,128,501260,3562310
"608","128_08","Native",13,128,502679,3562797
"609","128_08","Non-native",4,128,502679,3562797
"610","128_09","Native",26,128,496933,3563660
"611","128_09","Non-native",3,128,496933,3563660
"612","128_10","Native",24,128,497425,3563453
"613","128_10","Non-native",4,128,497425,3563453
"614","129_01","Native",24,129,497519,3567554
"615","129_01","Non-native",4,129,497519,3567554
"616","129_02","Native",14,129,498135,3567103
"617","129_02","Non-native",4,129,498135,3567103
"618","129_03","Native",24,129,497592,3568677
"619","129_03","Non-native",4,129,497592,3568677
"620","129_04","Native",24,129,498992,3568119
"621","129_04","Non-native",4,129,498992,3568119
"622","129_05","Native",17,129,499677,3568066
"623","129_05","Non-native",3,129,499677,3568066
"624","129_06","Native",23,129,499952,3568711
"625","129_06","Non-native",4,129,499952,3568711
"626","129_07","Native",29,129,499642,3569196
"627","129_07","Non-native",4,129,499642,3569196
"628","129_08","Native",17,129,500938,3569076
"629","129_08","Non-native",4,129,500938,3569076
"630","129_09","Native",19,129,500262,3571022
"631","129_09","Non-native",4,129,500262,3571022
"632","129_10","Native",21,129,501717,3570767
"633","129_10","Non-native",4,129,501717,3570767
"634","129_11","Native",18,129,502638,3570923
