"","siteID","native.US","totalcount","routeID","easting","northing"
"208","109_09","Native",185,109,507275,3575780
"209","109_10","Native",211,109,507220,3576773
"210","109_10","Non-native",17,109,507220,3576773
"211","109_11","Non-native",11,109,508518,3576832
"212","109_11","Native",239,109,508518,3576832
"213","109_12","Native",179,109,508620,3577564
"214","109_12","Non-native",9,109,508620,3577564
"215","110_01","Non-native",133,110,502823,3572132
"216","110_01","Native",743,110,502823,3572132
"217","110_02","Native",835,110,502249,3573576
"218","110_02","Non-native",46,110,502249,3573576
"219","110_03","Non-native",43,110,502121,3574454
"220","110_03","Native",618,110,502121,3574454
"221","110_04","Non-native",26,110,503627,3574326
"222","110_04","Native",614,110,503627,3574326
"223","110_05","Native",77,110,503890,3575390
"224","110_05","Non-native",1,110,503890,3575390
"225","110_05a","Native",492,110,503555,3575313
"226","110_05a","Non-native",37,110,503555,3575313
"227","110_06","Native",660,110,504314,3575034
"228","110_06","Non-native",38,110,504314,3575034
"229","110_07","Native",768,110,505577,3575721
"230","110_07","Non-native",109,110,505577,3575721
"231","110_08","Native",589,110,506785,3575779
"232","110_08","Non-native",34,110,506785,3575779
"233","110_09","Native",603,110,506255,3576273
"234","110_09","Non-native",29,110,506255,3576273
"235","110_10","Non-native",38,110,506845,3577431
"236","110_10","Native",615,110,506845,3577431
"237","110_11","Native",580,110,507447,3577559
"238","110_11","Non-native",30,110,507447,3577559
"239","110_12","Non-native",6,110,506856,3577764
"240","110_12","Native",465,110,506856,3577764
"241","111_01","Native",170,111,501089,3573523
"242","111_01","Non-native",61,111,501089,3573523
"243","111_02","Non-native",32,111,501630,3574547
"244","111_02","Native",266,111,501630,3574547
"245","111_03","Native",272,111,501744,3575088
"246","111_03","Non-native",40,111,501744,3575088
"247","111_04","Non-native",60,111,502326,3575727
"248","111_04","Native",207,111,502326,3575727
"249","111_05","Native",298,111,502963,3576981
"250","111_05","Non-native",78,111,502963,3576981
"251","111_06","Native",225,111,503399,3576713
"252","111_06","Non-native",208,111,503399,3576713
"253","111_07","Native",265,111,504885,3576981
"254","111_07","Non-native",74,111,504885,3576981
"255","111_08","Native",267,111,501592,3577990
"256","111_08","Non-native",63,111,501592,3577990
"257","111_09","Native",242,111,502124,3577321
"258","111_09","Non-native",55,111,502124,3577321
