"UID","neighborhood","treeEquity","speciesRich","richPerSqKm","areaSqKm"
166,"Groves Lincoln Park",72.0834953593,6,1.17091729109574,5.12418771644
167,"Haciendas Del Oeste",68.6887716791,0,0,0.532917863194
168,"Halcyon Acres",87.4582743221,77,59.5505978308437,1.29301808554
169,"Harlan Heights",82.6097567574,30,36.0072181863744,0.833166279181
170,"Harold Bell Wright Estates",91.7772906131,37,59.3435946471744,0.623487677482
171,"Harrison Estates",85.7492857781,157,483.070479413175,0.325004335166
172,"Haven Ridge",97.9828474919,14,27.6153081796761,0.506965191513
173,"Hedrick Acres",89.0854639223,95,73.1042596376601,1.29951387882
174,"Hermosa Hills",77.7642294602,0,0,0.324507421475
175,"Heromsa Highlands",82.6620904134,10,10.2536101038952,0.975266262192
176,"Hiawatha Hills and Teresa Terrace",0,43,187.705615169119,0.229082118621
177,"Hidden Hills",95.9152638386,52,53.7589640969312,0.96728054332
178,"Hidden Hills 1",83.8891077541,44,75.8884752362025,0.579798182307
179,"Highland Trails",78.4742268852,71,55.3581772834687,1.28255667878
180,"Highland Vista Cinco Via",89.940896549,26,39.9471199233031,0.650860438748
181,"Holiday Isle",81.1700378952,84,145.781809955755,0.576203574544
182,"Hollows Condo",100,2,21.2449067687209,0.0941402107231
183,"Houghton-Old Spanish Crossing",0,5,15.9717425267896,0.313052880211
184,"Houghton and Tanque Verde",0,0,0,0.663765833866
185,"Houghton East",85.1392627894,14,1.82631314987902,7.66571713122
186,"Houghton South",75.119501805,0,0,8.58687901121
187,"Indian Hills North",0,0,0,0.1634068714
188,"International Business Center",67.9657535607,27,27.7869528048684,0.971679053461
189,"Interstate Commerce Center",41.4398180523,32,109.975139914003,0.290974851453
190,"Interstate Commerce Park",0,21,3.15696399161749,6.65196057217
191,"Iron Horse",92.7424800918,21,77.1760349453268,0.272105194506
192,"Ironwood",73.0016960663,98,353.340842814973,0.277352595922
193,"Ironwood Ridge",80.3329599169,7,49.1099414122103,0.14253733152
194,"Irvington",66.9059123262,33,292.391321087807,0.11286244707
195,"Irvington & I-19 Commerce",0,92,242.418545149587,0.379508918937
196,"Jefferson Park",99.8287562372,93,82.6908855738249,1.12467050455
197,"Joaquin Murrieta",0,190,1167.26589823231,0.162773537964
198,"JT RP Annexation District",0,18,Inf,0
199,"Julia Keen",78.9673499906,4,1.72259569387927,2.32207709227
200,"Julian Wash Archaeological",0,27,170.816794187428,0.158064083385
201,"Keeling",84.0399501902,3,1.80741228248388,1.65983158855
202,"Kendall Square",91.6283227085,44,112.421958850796,0.391382612879
203,"Kingswood",84.628456248,140,433.763201793515,0.322756747048
204,"Kino Gateway",52.807096906,20,5.96842991371279,3.35096504259
205,"Kleindale",95.4775107312,75,155.539107659136,0.482193842621
206,"Kolb Executive Park",0,6,103.22004115051,0.0581282465413
207,"La Granada",0,88,3949.60250978513,0.0222807231315
208,"La Madera",95.3549065174,5,7.75654209748178,0.64461714217
209,"La Paloma Academy",0,63,373.577864058391,0.168639542278
210,"La Playa Caliente",0,23,269.480960256166,0.0853492579889
211,"Ladera Brisas",81.9793767764,127,1514.79479425135,0.0838397388755
212,"Lakeside Park",80.873667969,51,21.4005513877511,2.38311616724
213,"Las Colinas",94.4739355898,60,1262.7810788903,0.0475141740742
214,"Las Nubes",61.9282379836,4,14.7121385142723,0.271884335246
215,"Las Solinas",100,46,404.46388149364,0.113730797989
216,"Las Vistas",65.1641809212,3,1.0783807523035,2.78194876308
217,"Limberlost",85.6391115158,8,6.15776691952563,1.29917226562
218,"Lincoln Green",0,27,558.543187952771,0.0483400399152
219,"Linden Park",86.0958078345,63,211.91923585192,0.297283065158
220,"Linden Terrace",81.0871924386,0,0,0.149305727956
221,"Littletown",73.6848846791,11,6.03192312619064,1.82363066801
222,"Loma Verde",82.8642835159,18,64.478145906575,0.279164354789
223,"Longview Estates",78.3706690268,9,13.6410482562547,0.659773342263
224,"Loretta Heights",90.6116449784,39,429.979471884387,0.0907020045145
225,"Los Ranchitos",50.7068656146,7,3.08919192236762,2.26596474933
226,"Los Reales",0,56,11.034170263983,5.07514372719
227,"Marjack",100,23,141.379175116071,0.162683082435
228,"Maryland Hills",0,50,178.939592654284,0.279423906461
229,"McCall Addition",81.0456126401,91,550.876221098802,0.165191374241
230,"McCormick",93.1560724515,24,47.9948781679266,0.500053358111
